"ENSEMBL","fc","adj.P.Val"
"ENSG00000107447",-52.197733775286,4.45309127538228e-08
"ENSG00000158578",26.4051439848066,4.45309127538228e-08
"ENSG00000163565",-23.9750789752734,4.45309127538228e-08
"ENSG00000272398",-15.5656607781264,4.45309127538228e-08
"ENSG00000130600",18.2552760742086,4.45309127538228e-08
"ENSG00000111348",-14.4142778562843,4.45309127538228e-08
"ENSG00000100721",-13.8770733650943,4.45309127538228e-08
"ENSG00000085662",-21.4676408278143,4.45309127538228e-08
"ENSG00000121966",-12.4455929821252,4.45309127538228e-08
"ENSG00000102445",-13.5883997750876,4.45309127538228e-08
"ENSG00000167693",-12.339674594664,4.45309127538228e-08
"ENSG00000122122",-16.1628262067499,4.45309127538228e-08
"ENSG00000206503",-12.7418682064065,4.45309127538228e-08
"ENSG00000107438",-9.28081591518715,4.45309127538228e-08
"ENSG00000234745",-10.4183133024896,4.45309127538228e-08
"ENSG00000095585",-37.5813834524254,4.45309127538228e-08
"ENSG00000056972",-9.14499069560639,4.50891553088155e-08
"ENSG00000175063",-13.5899261968176,4.50891553088155e-08
"ENSG00000108551",-8.82962003613979,4.80448337104478e-08
"ENSG00000140848",-12.4203843270648,4.80448337104478e-08
"ENSG00000077420",-23.0393490456031,4.80448337104478e-08
"ENSG00000145687",-27.4376776222168,4.50891553088155e-08
"ENSG00000137265",-21.2256282659168,4.80448337104478e-08
"ENSG00000156587",-9.55249896239586,5.77038997226169e-08
"ENSG00000100060",-11.1146242308938,6.3153229048615e-08
"ENSG00000115935",-13.2032041157295,7.24999078375222e-08
"ENSG00000187239",-12.0832515186937,7.37850655334955e-08
"ENSG00000069424",-12.1286315963369,8.61230252882591e-08
"ENSG00000170365",-39.2647342696087,6.55893978010324e-08
"ENSG00000019582",-9.79359162928364,9.06766346371125e-08
"ENSG00000173221",-11.4218252105625,9.06766346371125e-08
"ENSG00000204287",-10.102662687899,9.06766346371125e-08
"ENSG00000180353",-16.1483144207628,9.06766346371125e-08
"ENSG00000231389",-12.0511276371493,9.06766346371125e-08
"ENSG00000135144",-12.8271716215843,9.06766346371125e-08
"ENSG00000185201",-9.56773473908515,9.06766346371125e-08
"ENSG00000179588",11.7367239404991,9.06766346371125e-08
"ENSG00000187193",-9.13075931757199,9.06766346371125e-08
"ENSG00000196549",-28.3432809585444,9.06766346371125e-08
"ENSG00000182459",15.8399970800307,9.06766346371125e-08
"ENSG00000168916",-26.8730903095306,9.06766346371125e-08
"ENSG00000153531",-8.68883208634274,9.85573077715713e-08
"ENSG00000117016",-10.9934919998275,9.97698697239452e-08
"ENSG00000118308",-7.9949251277979,1.0620593164836e-07
"ENSG00000179222",-16.6342603676146,1.04546524744382e-07
"ENSG00000204525",-9.15987894968439,1.08922460063369e-07
"ENSG00000147852",-15.87121858334,1.07522793960888e-07
"ENSG00000250361",6.59803850115492,1.17680541048671e-07
"ENSG00000167483",-17.2123921096705,1.23497472963416e-07
"ENSG00000140853",-8.89648096720154,1.27275795308165e-07
"ENSG00000067048",-23.2280415522168,1.08922460063369e-07
"ENSG00000130513",13.2189680426101,1.27275795308165e-07
"ENSG00000239713",-12.6089357123397,1.2925917944296e-07
"ENSG00000005379",-13.4343945222481,1.27275795308165e-07
"ENSG00000177469",5.70227835419952,1.34530468074825e-07
"ENSG00000141510",-9.58313717184624,1.36327117455995e-07
"ENSG00000280411",-12.3815859066462,1.36327117455995e-07
"ENSG00000100365",-11.1708309043527,1.37821779583875e-07
"ENSG00000060558",-11.1477048282437,1.37821779583875e-07
"ENSG00000196126",-7.57633432429728,1.40026051900796e-07
"ENSG00000182022",-25.0057492025708,1.23497472963416e-07
"ENSG00000145365",-18.4632954527125,1.36327117455995e-07
"ENSG00000272733",-21.3788863513013,1.27275795308165e-07
"ENSG00000092758",-7.53445997732076,1.4406250285688e-07
"ENSG00000122863",16.1159244550144,1.40640545386713e-07
"ENSG00000175183",-10.4463246745586,1.42598165581639e-07
"ENSG00000168675",-10.4168238403989,1.4406250285688e-07
"ENSG00000172716",-27.3686931169254,1.42598165581639e-07
"ENSG00000158321",-17.222586298354,1.42598165581639e-07
"ENSG00000173482",-17.2322539120565,1.42395094553256e-07
"ENSG00000168824",-22.7805984411227,1.36327117455995e-07
"ENSG00000274276",5.02668579442383,1.57311263483397e-07
"ENSG00000142192",-28.1331212934777,1.57311263483397e-07
"ENSG00000142583",-16.2760855229984,1.47355488709782e-07
"ENSG00000170421",8.6780851886965,1.57311263483397e-07
"ENSG00000206177",10.3870076208633,1.57311263483397e-07
"ENSG00000102575",6.79556144607655,1.62040071710623e-07
"ENSG00000198692",-17.0570994589295,1.57311263483397e-07
"ENSG00000134824",-11.3251603989586,1.62040071710623e-07
"ENSG00000166123",-7.15658368041295,1.62040071710623e-07
"ENSG00000266074",-10.08040192015,1.62040071710623e-07
"ENSG00000100219",-5.53883863541316,1.62040071710623e-07
"ENSG00000055163",-15.6287484255237,1.62040071710623e-07
"ENSG00000157554",-24.1540270387089,1.57311263483397e-07
"ENSG00000086730",-8.51177260532501,1.62040071710623e-07
"ENSG00000133612",5.12940332363909,1.62040071710623e-07
"ENSG00000160200",4.80856927028923,1.62040071710623e-07
"ENSG00000109113",-13.6728724860377,1.62040071710623e-07
"ENSG00000106829",-7.80401308777498,1.62040071710623e-07
"ENSG00000153303",11.9199485000455,1.62040071710623e-07
"ENSG00000079739",-22.9553510374038,1.62040071710623e-07
"ENSG00000128928",-9.52310696480948,1.62040071710623e-07
"ENSG00000130821",5.24368102033652,1.62040071710623e-07
"ENSG00000147689",4.74519068834223,1.62040071710623e-07
"ENSG00000168918",-12.9951639256614,1.62040071710623e-07
"ENSG00000233276",-8.83430799002996,1.62040071710623e-07
"ENSG00000203989",5.36737944710039,1.62040071710623e-07
"ENSG00000068724",-8.08551454410622,1.62040071710623e-07
"ENSG00000168297",-10.3277512213912,1.62040071710623e-07
"ENSG00000120899",-6.62882949771166,1.62058866456955e-07
"ENSG00000281383",31.8306467208064,1.62040071710623e-07
"ENSG00000204264",-7.84893702228577,1.62058866456955e-07
"ENSG00000166801",-9.59887787276958,1.62058866456955e-07
"ENSG00000004468",-20.6781521559261,1.62040071710623e-07
"ENSG00000281181",43.2110736287506,1.62040071710623e-07
"ENSG00000280800",43.6389501103208,1.62040071710623e-07
"ENSG00000280614",43.6578024516342,1.62040071710623e-07
"ENSG00000117318",-8.6085839120427,1.62058866456955e-07
"ENSG00000159314",-7.67151708088481,1.62058866456955e-07
"ENSG00000129195",-10.0625851821127,1.62058866456955e-07
"ENSG00000168310",-12.1749846749094,1.65050092599448e-07
"ENSG00000066382",-20.4012012812281,1.62040071710623e-07
"ENSG00000185338",7.63911260022698,1.67978940573371e-07
"ENSG00000166349",-62.6820611992604,1.57311263483397e-07
"ENSG00000225546",10.9747580618688,1.66334066710546e-07
"ENSG00000149781",-9.23057256809825,1.7099225187936e-07
"ENSG00000034152",-6.12543093884864,1.7099225187936e-07
"ENSG00000071575",4.99778828422652,1.67978940573371e-07
"ENSG00000196684",-14.6751750672058,1.66334066710546e-07
"ENSG00000109255",13.388238132994,1.67978940573371e-07
"ENSG00000007038",6.13612590883411,1.75886719394137e-07
"ENSG00000138623",6.70178915522516,1.77482926289017e-07
"ENSG00000144218",-13.6036683780009,1.67978940573371e-07
"ENSG00000124006",4.96665942129176,1.77482926289017e-07
"ENSG00000197943",-6.528309268704,1.77482926289017e-07
"ENSG00000172349",-10.2807961069112,1.75886719394137e-07
"ENSG00000100099",-4.38447319121235,1.77482926289017e-07
"ENSG00000110777",-14.6754158134377,1.77482926289017e-07
"ENSG00000198502",-7.82502133804306,1.77482926289017e-07
"ENSG00000095932",-9.38554015525289,1.77482926289017e-07
"ENSG00000174500",-27.421263133879,1.62058866456955e-07
"ENSG00000205358",-18.9834977636782,1.62058866456955e-07
"ENSG00000176533",-7.41686079419794,1.86843860264865e-07
"ENSG00000151702",-37.7880556872538,1.76934375356821e-07
"ENSG00000125144",-8.17938598344639,1.87160905714356e-07
"ENSG00000114353",-6.04414438841508,1.87160905714356e-07
"ENSG00000175274",-13.2933197382322,1.96577881777451e-07
"ENSG00000254329",-20.7746163505032,1.75886719394137e-07
"ENSG00000165702",5.97569201236504,2.0166545303242e-07
"ENSG00000137752",-14.8979237245594,1.82331341859119e-07
"ENSG00000065357",-10.5136296807201,2.0166545303242e-07
"ENSG00000177398",-28.2977514464398,1.67978940573371e-07
"ENSG00000251381",15.9388465665279,2.0166545303242e-07
"ENSG00000130203",9.61870386946488,2.0166545303242e-07
"ENSG00000101194",-11.4290614048097,2.13921332339113e-07
"ENSG00000107719",-12.2595874210024,2.13921332339113e-07
"ENSG00000069011",9.26140270765265,2.13921332339113e-07
"ENSG00000173762",8.85369717175973,2.13921332339113e-07
"ENSG00000159176",-5.60187585728357,2.13921332339113e-07
"ENSG00000177614",-22.729449939051,2.13921332339113e-07
"ENSG00000163513",-11.1152796070961,2.13921332339113e-07
"ENSG00000145990",-6.64641016491174,2.17391813616648e-07
"ENSG00000165025",-4.78178996450068,2.16571052635055e-07
"ENSG00000124126",-18.8022881132394,2.13921332339113e-07
