gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster
GZMH,0,2.36070016,0.856,0.313,0,0
CD8A,0,2.092292659,0.827,0.293,0,0
FGFBP2,0,2.219362219,0.779,0.257,0,0
TGFBR3,0,1.7928673,0.932,0.427,0,0
THEMIS,0,1.778331193,0.936,0.456,0,0
GZMB,0,0.814499172,0.868,0.388,0,0
GZMA,0,1.049164108,0.954,0.482,0,0
NKG7,0,1.649880072,0.99,0.521,0,0
PRF1,0,1.097891133,0.928,0.46,0,0
CCL5,0,1.531437899,0.995,0.552,0,0
CD3D,0,1.014580469,0.899,0.465,0,0
KLRK1,0,1.305558866,0.843,0.411,0,0
CD3G,0,1.267394526,0.88,0.458,0,0
KLRD1,0,1.200906088,0.746,0.333,0,0
C1orf21,0,1.585359431,0.699,0.292,0,0
CD8B,0,1.693333758,0.65,0.25,0,0
ADGRG1,0,1.584173022,0.632,0.232,0,0
TRAC,0,1.25856495,0.862,0.468,0,0
CCL4,0,1.440393272,0.632,0.242,0,0
IKZF3,0,1.143114008,0.859,0.472,0,0
IL32,0,0.647429904,0.96,0.574,0,0
PYHIN1,0,1.304474951,0.853,0.472,0,0
GNLY,0,0.876984307,0.772,0.391,0,0
CD2,0,1.152944137,0.907,0.528,0,0
CST7,0,1.22367662,0.884,0.506,0,0
SAMD3,0,1.175725963,0.91,0.536,0,0
BCL11B,0,1.089666849,0.931,0.562,0,0
SKAP1,0,1.014392333,0.98,0.622,0,0
SYTL2,0,1.635455645,0.658,0.309,0,0
CD3E,0,0.937656464,0.853,0.504,0,0
A2M,0,2.575577301,0.49,0.146,0,0
SYNE2,0,1.020037031,0.968,0.628,0,0
CX3CR1,0,1.491962775,0.704,0.367,0,0
PRKCH,0,1.247168769,0.992,0.655,0,0
CAMK4,0,0.801994316,0.807,0.472,0,0
ITK,0,1.06290031,0.837,0.507,0,0
RORA,0,1.000828284,0.84,0.51,0,0
LIME1,0,1.076116177,0.821,0.492,0,0
PRKCQ,0,1.283594372,0.897,0.571,0,0
CD247,0,0.322644083,0.928,0.605,0,0
GRAP2,0,1.070120168,0.789,0.469,0,0
TRBC2,0,1.005316796,0.795,0.478,0,0
ARL4C,0,1.062836379,0.936,0.62,0,0
LCK,0,1.00833691,0.825,0.513,0,0
TRGC2,0,1.899969226,0.545,0.236,0,0
MCOLN2,0,1.407847836,0.672,0.365,0,0
ETS1,0,0.845543992,0.917,0.612,0,0
KLRG1,0,1.901377967,0.55,0.249,0,0
C12orf75,0,0.782337519,0.789,0.493,0,0
SLFN12L,0,0.956671974,0.904,0.613,0,0
RUNX3,0,0.921614614,0.884,0.597,0,0
USP28,0,1.451848025,0.652,0.365,0,0
AC243829.2,0,2.822480689,0.375,0.088,0,0
CD96,0,0.741823616,0.851,0.578,0,0
SPON2,0,1.043279609,0.544,0.271,0,0
NFATC2,0,1.05854917,0.761,0.488,0,0
STAT4,0,0.895584875,0.805,0.533,0,0
KLF12,0,0.809611587,0.9,0.628,0,0
PZP,0,2.549135915,0.374,0.106,0,0
SETBP1,0,1.180901294,0.615,0.348,0,0
TNIK,0,0.761000759,0.84,0.574,0,0
LAG3,0,1.320851571,0.509,0.243,0,0
GZMM,0,1.541461435,0.571,0.305,0,0
CD6,0,1.469557437,0.58,0.316,0,0
CLIC3,0,1.316335401,0.47,0.208,0,0
TBX21,0,1.323474309,0.518,0.257,0,0
CARD11,0,0.72183552,0.812,0.553,0,0
NCALD,0,0.662376547,0.766,0.507,0,0
CEP78,0,1.273353881,0.618,0.367,0,0
TC2N,0,0.723599062,0.712,0.461,0,0
SLC38A1,0,0.836660219,0.86,0.611,0,0
LINC02384,0,1.160608374,0.465,0.217,0,0
HOPX,0,0.651427526,0.571,0.325,0,0
PPP1R16B,0,1.122915204,0.778,0.533,0,0
CTSW,0,0.447696995,0.602,0.358,0,0
DTHD1,0,1.618091107,0.422,0.179,0,0
ADGRG5,0,1.193107371,0.53,0.288,0,0
SLAMF7,0,1.187929157,0.606,0.364,0,0
CHST12,0,1.136571059,0.635,0.395,0,0
ZAP70,0,0.990177513,0.685,0.447,0,0
SLAMF6,0,1.184213489,0.585,0.347,0,0
SCML4,0,1.137059327,0.623,0.385,0,0
PTPN4,0,1.002107598,0.855,0.62,0,0
SYNE1,0,1.10049564,0.956,0.722,0,0
TENM1,0,1.555623823,0.455,0.226,0,0
TRBC1,0,1.124012009,0.593,0.365,0,0
PCED1B-AS1,0,0.595008226,0.75,0.522,0,0
ITGA1,0,1.819702529,0.393,0.166,0,0
GPRIN3,0,0.728795314,0.782,0.555,0,0
APOBEC3G,0,1.139747075,0.775,0.548,0,0
EVL,0,0.947794357,0.911,0.686,0,0
RASGRP1,0,0.792877266,0.743,0.518,0,0
CBLB,0,1.110641382,0.942,0.718,0,0
TOX,0,0.654125215,0.635,0.414,0,0
FYN,0,1.16481403,0.973,0.755,0,0
PRKACB,0,0.953341185,0.775,0.558,0,0
PRKY,0,0.855568315,0.689,0.473,0,0
GAB3,0,1.196001323,0.692,0.477,0,0
USP9Y,0,0.9738612,0.585,0.37,0,0
PRDM1,0,1.041904577,0.555,0.342,0,0
MIAT,0,1.386994505,0.44,0.227,0,0
SYTL3,0,0.937748381,0.724,0.511,0,0
GK5,0,1.084454067,0.569,0.357,0,0
NLRC3,0,0.972802768,0.637,0.427,0,0
LAT,0,0.747664992,0.652,0.444,0,0
PRR5,0,1.14298683,0.515,0.307,0,0
TRG-AS1,0,1.0142289,0.611,0.403,0,0
LLGL2,0,1.14227444,0.464,0.257,0,0
MXD4,0,1.219668724,0.64,0.434,0,0
F2R,0,1.042551242,0.406,0.2,0,0
SH2D1A,0,0.803694579,0.549,0.343,0,0
RRAS2,0,0.855903926,0.632,0.427,0,0
DIP2A,0,1.167872346,0.801,0.597,0,0
PPP2R2B,0,1.374071896,0.358,0.155,0,0
CLEC2D,0,0.78522968,0.895,0.693,0,0
SLA2,0,0.799905937,0.507,0.305,0,0
NPC1,0,1.230069261,0.781,0.58,0,0
GLCCI1,0,0.800625185,0.719,0.518,0,0
LINC01871,0,1.001038712,0.44,0.24,0,0
GNG2,0,0.829765178,0.894,0.695,0,0
ZBTB38,0,1.237611367,0.601,0.402,0,0
TNFAIP3,0,1.06873071,0.81,0.613,0,0
AF165147.1,0,0.936690638,0.471,0.275,0,0
OPTN,0,0.801743445,0.805,0.61,0,0
SBK1,0,1.442556739,0.372,0.178,0,0
KIF21A,0,1.398604153,0.422,0.229,0,0
UTY,0,0.693715101,0.731,0.538,0,0
HIVEP3,0,1.03147634,0.777,0.585,0,0
TMEM181,0,1.068285838,0.72,0.528,0,0
AC087854.1,0,1.175945233,0.537,0.346,0,0
P2RY8,0,1.341626283,0.887,0.696,0,0
PRR5L,0,1.023718508,0.509,0.318,0,0
RNF125,0,0.933412432,0.776,0.586,0,0
PAM,0,0.937926862,0.661,0.473,0,0
LINC00612,0,2.466522456,0.257,0.069,0,0
TFDP2,0,0.638162281,0.704,0.516,0,0
ATP8A1,0,0.976350876,0.813,0.626,0,0
AC015849.1,0,1.561280994,0.327,0.141,0,0
PPP3CC,0,0.997488355,0.863,0.679,0,0
STK39,0,0.651010225,0.809,0.626,0,0
ZFYVE28,0,1.17771658,0.461,0.278,0,0
SLC4A7,0,1.029370971,0.775,0.593,0,0
PLCXD2,0,1.45487532,0.363,0.181,0,0
ITGAL,0,1.004897823,0.907,0.727,0,0
RFX3-AS1,0,1.150457108,0.526,0.347,0,0
TTC16,0,2.056932477,0.274,0.095,0,0
ABCD2,0,1.230473348,0.407,0.228,0,0
SLFN5,0,0.993983547,0.822,0.645,0,0
RAB29,0,0.946056336,0.625,0.45,0,0
PTPN22,0,0.925183502,0.724,0.55,0,0
CEMIP2,0,1.091366094,0.847,0.673,0,0
ATP2B4,0,0.860560391,0.741,0.569,0,0
AC079793.1,0,0.653106431,0.852,0.681,0,0
STK17A,0,0.860541484,0.856,0.685,0,0
ID2,0,0.695382506,0.754,0.585,0,0
MIR4435-2HG,0,0.779751753,0.779,0.61,0,0
PRSS23,0,1.522802696,0.289,0.121,0,0
SLC9A3R1,0,0.934209618,0.719,0.551,0,0
CCSER2,0,0.958021802,0.875,0.708,0,0
OSBPL7,0,1.467289936,0.328,0.162,0,0
BCL2L11,0,1.071580498,0.524,0.36,0,0
FAM53B,0,0.971596071,0.695,0.532,0,0
LYAR,0,0.834583332,0.658,0.496,0,0
ERN1,0,0.897041528,0.643,0.481,0,0
PXN,0,0.920051964,0.687,0.526,0,0
ZNF683,0,1.777383201,0.255,0.095,0,0
CYFIP2,0,0.818668316,0.805,0.646,0,0
CD99,0,0.419695575,0.85,0.691,0,0
AHNAK,0,0.539397879,0.848,0.69,0,0
RASA3,0,0.896393696,0.869,0.711,0,0
MNAT1,0,0.88823898,0.638,0.48,0,0
CD81,0,0.870219827,0.71,0.552,0,0
