"ENSEMBL","SYMBOL","biotype","geneloc"
"ENSG00000107447"," DNTT"," protein_coding","chr10:96304409-96338564"
"ENSG00000158578"," ALAS2"," protein_coding","chrX:55009055-55030977"
"ENSG00000163565"," IFI16"," protein_coding","chr1:158999968-159055155"
"ENSG00000272398"," CD24"," protein_coding","chr6:106969831-106975627"
"ENSG00000130600"," H19"," lncRNA","chr11:1995176-2001470"
"ENSG00000111348"," ARHGDIB"," protein_coding","chr12:14942031-14961728"
"ENSG00000100721"," TCL1A"," protein_coding","chr14:95709947-95714196"
"ENSG00000085662"," AKR1B1"," protein_coding","chr7:134442356-134459284"
"ENSG00000121966"," CXCR4"," protein_coding","chr2:136114349-136118149"
"ENSG00000102445"," RUBCNL"," protein_coding","chr13:46334681-46438190"
"ENSG00000167693"," NXN"," protein_coding","chr17:799310-979776"
"ENSG00000122122"," SASH3"," protein_coding","chrX:129779949-129795201"
"ENSG00000206503"," HLA-A"," protein_coding","chr6:29941260-29945884"
"ENSG00000107438"," PDLIM1"," protein_coding","chr10:95237572-95291012"
"ENSG00000234745"," HLA-B"," protein_coding","chr6:31353872-31357188"
"ENSG00000095585"," BLNK"," protein_coding","chr10:96189171-96271587"
"ENSG00000056972"," TRAF3IP2"," protein_coding","chr6:111555381-111606906"
"ENSG00000175063"," UBE2C"," protein_coding","chr20:45812576-45816957"
"ENSG00000108551"," RASD1"," protein_coding","chr17:17494437-17496395"
"ENSG00000140848"," CPNE2"," protein_coding","chr16:57092583-57148369"
"ENSG00000077420"," APBB1IP"," protein_coding","chr10:26438341-26567803"
"ENSG00000145687"," SSBP2"," protein_coding","chr5:81413021-81751797"
"ENSG00000137265"," IRF4"," protein_coding","chr6:391752-411443"
"ENSG00000156587"," UBE2L6"," protein_coding","chr11:57551656-57568284"
"ENSG00000100060"," MFNG"," protein_coding","chr22:37469063-37486393"
"ENSG00000115935"," WIPF1"," protein_coding","chr2:174559572-174682916"
"ENSG00000187239"," FNBP1"," protein_coding","chr9:129887187-130043194"
"ENSG00000069424"," KCNAB2"," protein_coding","chr1:5990927-6101193"
"ENSG00000170365"," SMAD1"," protein_coding","chr4:145481194-145559176"
"ENSG00000019582"," CD74"," protein_coding","chr5:150400041-150412969"
"ENSG00000173221"," GLRX"," protein_coding","chr5:95751319-95822726"
"ENSG00000204287"," HLA-DRA"," protein_coding","chr6:32439878-32445046"
"ENSG00000180353"," HCLS1"," protein_coding","chr3:121631399-121660927"
"ENSG00000231389"," HLA-DPA1"," protein_coding","chr6:33064569-33080775"
"ENSG00000135144"," DTX1"," protein_coding","chr12:113056709-113098028"
"ENSG00000185201"," IFITM2"," protein_coding","chr11:303655-309397"
"ENSG00000179588"," ZFPM1"," protein_coding","chr16:88453280-88537031"
"ENSG00000187193"," MT1X"," protein_coding","chr16:56682470-56684196"
"ENSG00000196549"," MME"," protein_coding","chr3:155024124-155183704"
"ENSG00000182459"," TEX19"," protein_coding","chr17:82359247-82363775"
"ENSG00000168916"," ZNF608"," protein_coding","chr5:124636913-124748807"
"ENSG00000153531"," ADPRHL1"," protein_coding","chr13:113399610-113453524"
"ENSG00000117016"," RIMS3"," protein_coding","chr1:40620680-40665682"
"ENSG00000118308"," IRAG2"," protein_coding","chr12:25004342-25108334"
"ENSG00000179222"," MAGED1"," protein_coding","chrX:51803007-51902354"
"ENSG00000204525"," HLA-C"," protein_coding","chr6:31268749-31272130"
"ENSG00000147852"," VLDLR"," protein_coding","chr9:2621182-2660056"
"ENSG00000250361"," GYPB"," protein_coding","chr4:143996104-144019380"
"ENSG00000167483"," NIBAN3"," protein_coding","chr19:17523301-17553839"
"ENSG00000140853"," NLRC5"," protein_coding","chr16:56989485-57083531"
"ENSG00000067048"," DDX3Y"," protein_coding","chrY:12904108-12920478"
"ENSG00000130513"," GDF15"," protein_coding","chr19:18374731-18389176"
"ENSG00000239713"," APOBEC3G"," protein_coding","chr22:39077067-39087743"
"ENSG00000005379"," TSPOAP1"," protein_coding","chr17:58301228-58328795"
"ENSG00000177469"," CAVIN1"," protein_coding","chr17:42402449-42423256"
"ENSG00000141510"," TP53"," protein_coding","chr17:7661779-7687538"
"ENSG00000280411"," IGHV1-69D"," IG_V_gene","chr14:106762092-106762588"
"ENSG00000100365"," NCF4"," protein_coding","chr22:36860988-36878017"
"ENSG00000060558"," GNA15"," protein_coding","chr19:3136033-3163749"
"ENSG00000196126"," HLA-DRB1"," protein_coding","chr6:32578769-32589848"
"ENSG00000182022"," CHST15"," protein_coding","chr10:124007668-124093598"
"ENSG00000145365"," TIFA"," protein_coding","chr4:112274537-112285904"
"ENSG00000272733",NA,NA,"chr22:23580880-23583859"
"ENSG00000092758"," COL9A3"," protein_coding","chr20:62816244-62841159"
"ENSG00000122863"," CHST3"," protein_coding","chr10:71964395-72013558"
"ENSG00000175183"," CSRP2"," protein_coding","chr12:76858709-76879023"
"ENSG00000168675"," LDLRAD4"," protein_coding","chr18:13217498-13652755"
"ENSG00000172716"," SLFN11"," protein_coding","chr17:35350305-35373701"
"ENSG00000158321"," AUTS2"," protein_coding","chr7:69598296-70793506"
"ENSG00000173482"," PTPRM"," protein_coding","chr18:7566782-8406861"
"ENSG00000168824"," NSG1"," protein_coding","chr4:4348140-4419058"
"ENSG00000274276"," CBSL"," protein_coding","chr21:6444869-6468040"
"ENSG00000142192"," APP"," protein_coding","chr21:25880550-26171128"
"ENSG00000142583"," SLC2A5"," protein_coding","chr1:9035106-9088478"
"ENSG00000170421"," KRT8"," protein_coding","chr12:52897187-52949954"
"ENSG00000206177"," HBM"," protein_coding","chr16:153892-166764"
"ENSG00000102575"," ACP5"," protein_coding","chr19:11574660-11579008"
"ENSG00000198692"," EIF1AY"," protein_coding","chrY:20575776-20593154"
"ENSG00000134824"," FADS2"," protein_coding","chr11:61792980-61867354"
"ENSG00000166123"," GPT2"," protein_coding","chr16:46884362-46931289"
"ENSG00000266074"," BAHCC1"," protein_coding","chr17:81395457-81466332"
"ENSG00000100219"," XBP1"," protein_coding","chr22:28794555-28800597"
"ENSG00000055163"," CYFIP2"," protein_coding","chr5:157266079-157395595"
"ENSG00000157554"," ERG"," protein_coding","chr21:38380027-38661780"
"ENSG00000086730"," LAT2"," protein_coding","chr7:74199652-74229834"
"ENSG00000133612"," AGAP3"," protein_coding","chr7:151085831-151144436"
"ENSG00000160200"," CBS"," protein_coding","chr21:43053191-43076943"
"ENSG00000109113"," RAB34"," protein_coding","chr17:28714281-28718429"
"ENSG00000106829"," TLE4"," protein_coding","chr9:79571773-79726882"
"ENSG00000153303"," FRMD1"," protein_coding","chr6:168053166-168101511"
"ENSG00000079739"," PGM1"," protein_coding","chr1:63593411-63660245"
"ENSG00000128928"," IVD"," protein_coding","chr15:40405485-40435947"
"ENSG00000130821"," SLC6A8"," protein_coding","chrX:153687926-153696588"
"ENSG00000147689"," FAM83A"," protein_coding","chr8:123178960-123210079"
"ENSG00000168918"," INPP5D"," protein_coding","chr2:233059967-233207903"
"ENSG00000233276"," GPX1"," protein_coding","chr3:49357176-49358353"
"ENSG00000203989"," RHOXF2B"," protein_coding","chrX:120072264-120077690"
"ENSG00000068724"," TTC7A"," protein_coding","chr2:46916157-47076137"
"ENSG00000168297"," PXK"," protein_coding","chr3:58332880-58426127"
"ENSG00000120899"," PTK2B"," protein_coding","chr8:27311482-27459391"
"ENSG00000281383",NA,NA,"chr21:8254592-8255514"
"ENSG00000204264"," PSMB8"," protein_coding","chr6:32840717-32844679"
"ENSG00000166801"," FAM111A"," protein_coding","chr11:59142748-59155039"
"ENSG00000004468"," CD38"," protein_coding","chr4:15778275-15853232"
"ENSG00000281181",NA,NA,"chr21:8437629-8438551"
"ENSG00000280800",NA,NA,"chr21:8210384-8211306"
"ENSG00000280614",NA,NA,"chr21:8393419-8394341"
"ENSG00000117318"," ID3"," protein_coding","chr1:23557926-23559501"
"ENSG00000159314"," ARHGAP27"," protein_coding","chr17:45393902-45434421"
"ENSG00000129195"," PIMREG"," protein_coding","chr17:6444441-6451469"
"ENSG00000168310"," IRF2"," protein_coding","chr4:184387729-184474550"
"ENSG00000066382"," MPPED2"," protein_coding","chr11:30384493-30586872"
"ENSG00000185338"," SOCS1"," protein_coding","chr16:11254417-11256204"
"ENSG00000166349"," RAG1"," protein_coding","chr11:36510709-36593156"
"ENSG00000225546"," LINC02476"," lncRNA","chr7:119495024-119907397"
"ENSG00000149781"," FERMT3"," protein_coding","chr11:64206678-64223891"
"ENSG00000034152"," MAP2K3"," protein_coding","chr17:21284672-21315232"
"ENSG00000071575"," TRIB2"," protein_coding","chr2:12716910-12742734"
"ENSG00000196684"," HSH2D"," protein_coding","chr19:16134028-16158575"
"ENSG00000109255"," NMU"," protein_coding","chr4:55595229-55636698"
"ENSG00000007038"," PRSS21"," protein_coding","chr16:2817180-2826304"
"ENSG00000138623"," SEMA7A"," protein_coding","chr15:74409289-74433958"
"ENSG00000144218"," AFF3"," protein_coding","chr2:99545419-100192428"
"ENSG00000124006"," OBSL1"," protein_coding","chr2:219550728-219571859"
"ENSG00000197943"," PLCG2"," protein_coding","chr16:81739097-81962685"
"ENSG00000172349"," IL16"," protein_coding","chr15:81159575-81314058"
"ENSG00000100099"," HPS4"," protein_coding","chr22:26443423-26483837"
"ENSG00000110777"," POU2AF1"," protein_coding","chr11:111352255-111455630"
"ENSG00000198502"," HLA-DRB5"," protein_coding","chr6:32517353-32530287"
"ENSG00000095932"," SMIM24"," protein_coding","chr19:3473986-3480525"
"ENSG00000174500"," GCSAM"," protein_coding","chr3:112120839-112133270"
"ENSG00000205358"," MT1H"," protein_coding","chr16:56669814-56671129"
"ENSG00000176533"," GNG7"," protein_coding","chr19:2511219-2702694"
"ENSG00000151702"," FLI1"," protein_coding","chr11:128686535-128813267"
"ENSG00000125144"," MT1G"," protein_coding","chr16:56666730-56668065"
"ENSG00000114353"," GNAI2"," protein_coding","chr3:50226292-50259362"
"ENSG00000175274"," TP53I11"," protein_coding","chr11:44885903-44951306"
"ENSG00000254329"," IGHVII-60-1"," IG_V_pseudogene","chr14:106637718-106637973"
"ENSG00000165702"," GFI1B"," protein_coding","chr9:132944000-132991687"
